Date,Longitude,Latitude,Wind speed,Air temperature,SST,RH,P,Rs,zu,zt
20071120,334.99963,-11.499352,8.794923,24.131495,25.056753,76.42495,1013.214,225.20065,30.899999618530273,25.5
20071121,255.7156,9.789687,6.176063,27.301052,27.387524,83.09276,1008.5164,252.16675,30.899999618530273,25.5
20071121,337.5001,-11.75006,8.433425,23.564425,24.931494,77.118355,1014.3031,165.5846,19.799999237060547,19.799999237060547
20071122,340.0,-11.99914,7.0062027,23.351624,24.229942,72.40834,1014.06445,225.18854,19.799999237060547,19.799999237060547
20071122,255.66672,9.842854,5.499074,26.98307,27.616879,81.09666,1009.9919,230.79036,10.300000190734863,10.300000190734863
20071123,342.93484,-12.28964,8.241953,22.6592,23.765736,74.6804,1013.1486,233.28416,19.799999237060547,19.799999237060547
20071123,255.46332,10.036647,4.8237176,27.104624,27.719305,80.71403,1009.3599,238.72432,19.799999237060547,19.799999237060547
20071124,255.31673,10.010996,6.286886,27.186924,27.737314,79.55154,1007.76025,241.8804,10.300000190734863,10.300000190734863
20071124,345.2491,-12.49993,7.9109507,22.216686,23.1859,76.9072,1013.6898,245.46913,19.799999237060547,19.799999237060547
20071125,255.75232,9.496992,6.1330056,26.730375,27.595978,80.89304,1007.6677,102.04892,10.300000190734863,10.300000190734863
20071125,349.39288,-12.499943,7.7886324,21.247858,22.847721,78.25627,1013.71185,158.34775,19.799999237060547,19.799999237060547
20071126,255.7077,9.836394,3.1328394,26.846622,27.77682,80.66442,1008.3848,163.27097,19.799999237060547,19.799999237060547
20071126,352.35635,-12.500758,8.746861,20.866106,22.397173,78.62413,1014.25653,198.67885,30.899999618530273,25.5
20071127,255.70819,9.83245,5.125486,26.942648,27.841017,80.06169,1009.42633,142.01231,10.300000190734863,10.300000190734863
20071127,355.00037,-12.4992485,8.627833,20.899656,21.952175,75.97954,1014.1505,150.64816,19.799999237060547,19.799999237060547
20071128,255.14981,9.833582,7.5229273,26.887619,27.707458,81.910645,1008.5579,102.93223,10.300000190734863,10.300000190734863
20071128,357.84296,-13.334881,8.784358,20.226383,21.446817,75.13888,1012.6885,179.7881,15.0,20.0
20071129,255.45639,9.68464,3.3940587,25.741959,27.559109,85.97139,1009.8209,176.46407,30.899999618530273,25.5
20071129,359.9756,-13.478965,8.0970125,19.971445,21.074251,74.63247,1011.95575,182.27443,19.799999237060547,19.799999237060547
20071130,359.94064,-13.460331,7.1984677,19.993332,21.107206,74.86635,1012.5264,190.10489,19.799999237060547,19.799999237060547
20071130,255.71149,9.832443,6.822498,26.81647,27.66478,80.92239,1010.8502,232.65407,10.300000190734863,10.300000190734863
20071201,255.59494,9.941603,6.7792664,26.908985,27.753613,78.68847,1011.40546,200.94003,30.899999618530273,25.5
20071201,359.9073,-13.451205,7.096053,20.038725,21.109795,74.990974,1012.7549,193.43611,19.799999237060547,19.799999237060547
